Number	Corpus	Prefix	Construction	Number	Negation	Intensifier
617	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
618	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
619	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
620	Newspaper corpus	Za	NPnom V Vinf NPacc (confuse)	Singular	No negation	No intensifier
621	Newspaper corpus	Za	NPnom V NPacc NPins (confuse)	Plural	No negation	No intensifier
622	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
623	Newspaper corpus	Za	NPnom V Vinf NPacc NPins (confuse)	Plural	No negation	No intensifier
624	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
625	Newspaper corpus	Za	NPnom V Vinf NPacc (confuse)	Plural	No negation	до состояния, когда…
626	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
627	Newspaper corpus	Za	NPnom V Vinf NPacc (confuse)	Singular	No negation	No intensifier
628	Newspaper corpus	Za	NPnom V NPacc (cover)	Plural	No negation	No intensifier
629	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
630	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	окончательно
631	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	No intensifier
632	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	Negation	не настолько, чтобы…
633	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
634	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	до крайности
635	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	ещё больше
636	Newspaper corpus	Za	NPnom V NPacc (confuse)	Singular	No negation	No intensifier
637	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	окончательно
638	Newspaper corpus	Za	NPnom V NPacc (confuse)	Plural	No negation	вконец
